Rank,ID,Movie Title,Studio,Total Gross,Theaters,Opening,Opening Theaters,Open,Close
15,232,Halloween (2018),Universal,"$158,994,295 ","3,990","$76,221,545 ","3,928",19-Oct,
562,233,Hannah (2018),PDF,"$11,700 ",2,"$11,700 ",2,9-Mar,
365,234,Happy Phirr Bhag Jayegi ,Eros,"$103,385 ",71,"$72,376 ",44,24-Aug,
395,235,Have a Nice Day,Strand,"$79,393 ",15,"$10,463 ",1,26-Jan,19-Apr
169,236,Hearts Beat Loud,G&S,"$2,386,251 ",170,"$74,524 ",4,8-Jun,30-Aug
577,237,Heavy Trip,MBox,"$9,792 ",19,"$5,419 ",16,5-Oct,
407,238,Helicopter Eela,Eros,"$71,971 ",70,"$51,115 ",70,12-Oct,
107,239,Hell Fest,Lionsgate Films,"$11,107,431 ","2,297","$5,130,963 ","2,297",28-Sep,8-Nov
547,240,Here and Now,AMBI,"$13,337 ",51,"$8,090 ",51,9-Nov,
58,241,Hereditary,A24,"$44,069,456 ","2,998","$13,575,172 ","2,964",8-Jun,30-Aug
278,242,Hichki,Yash,"$330,279 ",73,"$330,279 ",73,23-Mar,25-Mar
666,243,Higher Power,Magn.,$528 ,3,$299 ,3,11-May,17-May
447,244,Hitler's Hollywood,KL,"$43,766 ",6,"$8,634 ",1,11-Apr,30-Aug
472,245,Holy Hell (2018),Indic.,"$34,366 ",7,"$21,504 ",4,20-Jul,23-Aug
508,246,Horn From the Heart,Abr.,"$21,720 ",2,"$3,086 ",1,17-Oct,
640,247,Hot to Trot (2018),FRun,"$3,133 ",1,"$3,133 ",1,24-Aug,
123,248,Hotel Artemis,Global Road,"$6,708,147 ","2,407","$3,232,790 ","2,407",8-Jun,19-Jul
13,249,Hotel Transylvania 3: Summer Vacation,Sony,"$167,485,460 ","4,267","$44,076,225 ","4,267",13-Jul,
225,250,How Long Will I Love U,WGUSA,"$746,933 ",32,"$204,733 ",23,25-May,28-Jun
386,251,How to Talk to Girls at Parties,A24,"$84,809 ",103,"$12,674 ",2,25-May,14-Jun
551,252,How Victor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,CARUSEL,"$12,954 ",8,"$2,634 ",8,23-Mar,8-Apr
453,253,Humor Me,Shout!,"$40,099 ",5,"$3,342 ",1,12-Jan,8-Mar
99,254,Hunter Killer,Lionsgate Summit,"$15,688,044 ","2,728","$6,653,777 ","2,728",26-Oct,
352,255,HYMN - Sarah Brightman In Concert,Fathom,"$113,274 ",466,,,8-Nov,
605,256,I Am MLK Jr.,Gathr,"$5,918 ",2,,,3-May,
436,257,I Am Not a Witch,FM,"$50,057 ",8,"$8,252 ",2,7-Sep,
29,258,I Can Only Imagine,RAtt.,"$83,482,352 ","2,894","$17,108,914 ","1,629",16-Mar,12-Jul
49,259,I Feel Pretty,STX,"$48,795,601 ","3,440","$16,030,218 ","3,440",20-Apr,21-Jun
657,260,I Still See You,Lionsgate Films,"$1,359 ",10,$815 ,10,12-Oct,
360,261,In Between,FM,"$107,977 ",8,"$5,888 ",2,5-Jan,10-May
597,262,In Echo Park,Indic.,"$7,072 ",2,"$4,222 ",2,12-Oct,
428,263,In Search of Greatness,Art of Sport,"$58,090 ",16,"$32,952 ",16,2-Nov,
622,264,In Searching,Indic.,"$4,536 ",2,"$3,090 ",2,9-Nov,
496,265,In the Intense Now,Icar.,"$24,955 ",1,"$5,565 ",1,31-Jan,14-Jun
599,266,In the Land of Pomegranates,FRun,"$7,014 ",1,"$3,072 ",1,5-Jan,18-Jan
3,267,Incredibles 2,Buena Vista,"$608,472,207 ","4,410","$182,687,905 ","4,410",15-Jun,
153,268,Indivisible,PFR,"$3,472,472 ",830,"$1,503,101 ",830,26-Oct,
37,269,Insidious: The Last Key,Universal,"$67,560,690 ","3,150","$29,581,355 ","3,116",5-Jan,29-Mar
81,270,Instant Family,Paramount,"$27,886,508 ","3,286","$14,504,315 ","3,286",16-Nov,
610,271,Intersection (2018),Indic.,"$5,116 ",2,"$1,940 ",2,15-Jun,9-Aug
74,272,Isle Of Dogs,FoxS,"$32,015,231 ","1,947","$1,620,294 ",27,23-Mar,30-Aug
366,273,Ismael's Ghosts,Magn.,"$102,510 ",17,"$19,158 ",2,23-Mar,24-May
240,274,Itzhak,Greenwich,"$607,290 ",35,"$14,350 ",2,9-Mar,2-Aug
517,275,Izzy Gets the Fuck Across Town,Shout!,"$20,208 ",15,"$10,559 ",15,22-Jun,28-Jun
318,276,Jane and Emma,Excel,"$184,795 ",29,"$84,512 ",21,12-Oct,
305,277,Jason Mraz: Have It All The Movie,Atlantic Rec,"$210,985 ",600,,,8-Aug,
495,278,Jet Trash,Indic.,"$26,002 ",6,"$4,914 ",2,27-Apr,18-Oct
379,279,John McEnroe: In the Realm of Perfection,Osci.,"$90,964 ",22,"$7,878 ",1,22-Aug,18-Oct
144,280,Johnny English Strikes Again,Universal,"$4,280,890 ",552,"$1,638,895 ",544,26-Oct,
331,281,Journey's End,Good Deed,"$161,796 ",185,"$11,798 ",2,16-Mar,
155,282,"Juliet, Naked",RAtt.,"$3,444,895 ",467,"$60,886 ",4,17-Aug,25-Oct
4,283,Jurassic World: Fallen Kingdom,Universal,"$416,769,345 ","4,485","$148,024,610 ","4,475",22-Jun,4-Oct
620,284,Kangaroo,Abr.,"$4,547 ",2,"$2,282 ",2,19-Jan,25-Jan
319,285,Karwaan,Pack Your Ba,"$182,009 ",58,"$98,460 ",58,3-Aug,19-Aug
307,286,Keep the Change,KL,"$202,788 ",13,"$12,445 ",1,16-Mar,14-Jun
401,287,Keys to the Heart,CJ,"$75,134 ",2,"$9,851 ",2,26-Jan,8-Mar
621,288,Kickboxer Retaliation,WGUSA,"$4,537 ",10,"$3,061 ",10,26-Jan,1-Feb
134,289,Kin,Lionsgate Films,"$5,718,096 ","2,141","$3,035,618 ","2,141",31-Aug,27-Sep
533,290,King of Hearts (2018 re-release),Cohen,"$17,646 ",4,"$3,443 ",1,23-Feb,12-Apr
286,291,Kings (2018),Orch.,"$274,635 ",215,"$163,289 ",215,27-Apr,17-May
218,292,Kirk Cameron: Connect,Fathom,"$836,020 ",765,,,27-Feb,1-Mar
461,293,Krystal,Pala.,"$37,516 ",86,,,13-Apr,26-Apr
473,294,Kuleana,Gathr,"$33,953 ",6,,,13-Apr,
275,295,Kusama: Infinity,Magn.,"$350,226 ",22,"$30,998 ",2,7-Sep,
164,296,La Boda de Valentina,PNT,"$2,783,739 ",331,"$1,147,073 ",331,9-Feb,15-Mar
631,297,La Familia,FM,"$3,696 ",2,"$2,030 ",1,3-Aug,4-Oct
206,298,Labyrinth (2018 Fathom Event),Fathom,"$1,028,445 ",646,"$558,857 ",646,29-Apr,3-May
326,299,Last Letter,CL,"$171,890 ",23,"$80,485 ",18,9-Nov,
466,300,Le Corbeau (2018 re-issue),Rialto,"$36,089 ",1,"$6,452 ",1,20-Apr,9-Sep
205,301,Lean on Pete,A24,"$1,163,056 ",187,"$46,975 ",4,6-Apr,14-Jun
267,302,Leaning Into The Wind,Magn.,"$400,530 ",39,"$24,840 ",5,9-Mar,21-Jun
130,303,Leave No Trace,BST,"$6,046,104 ",361,"$219,140 ",9,29-Jun,4-Oct
593,304,Legend of the Mountain (2017 re-release),KL,"$7,640 ",2,,,2-Feb,5-Apr
560,305,Les Parents Terribles (2018 re-release),Cohen,"$11,818 ",1,"$5,332 ",1,25-May,10-Jun
376,306,Let the Corpses Tan,KL,"$92,886 ",13,"$11,918 ",3,31-Aug,
215,307,Let the Sunshine In,IFC,"$866,714 ",67,"$39,699 ",2,27-Apr,26-Jul
556,308,Let Yourself Go,Men.,"$12,189 ",8,"$8,128 ",8,2-Mar,8-Mar
501,309,Letter From Masanjia,Ammo,"$23,481 ",2,"$8,295 ",2,14-Sep,
