Rank,ID,Movie Title,Studio,Total Gross,Theaters,Opening,Opening Theaters,Open,Close
328,435,Rampant,WGUSA,"$167,937 ",29,"$18,326 ",2,26-Oct,
101,436,RBG,Magn.,"$14,017,361 ",432,"$578,470 ",34,4-May,11-Oct
19,437,Ready Player One,Warner Brothers,"$137,018,455 ","4,234","$41,764,050 ","4,234",29-Mar,5-Jul
668,438,Realms,TFA,$147 ,3,$108 ,3,7-Sep,13-Sep
52,439,Red Sparrow,Fox,"$46,874,505 ","3,064","$16,853,422 ","3,056",2-Mar,7-Jun
375,440,Reign of Judges: Title of Liberty - Concept Short,Darin Southa,"$93,224 ",14,,,15-Mar,28-Jun
565,441,Rendezvous in July (2018 re-release),Rialto,"$11,321 ",2,"$6,080 ",1,1-Aug,
486,442,Restoring Tomorrow (Event),Fathom,"$28,556 ",394,,,13-Nov,
591,443,Return of the Hero,Distrib.,"$7,792 ",2,$761 ,1,30-Aug,
367,444,Revenge (2018),Neon,"$102,091 ",37,"$45,924 ",37,11-May,31-May
494,445,Ridge Runners,Indic.,"$26,019 ",7,"$8,015 ",7,19-Jan,1-Mar
115,446,Robin Hood (2018),Lionsgate Summit,"$8,555,000 ","2,827",,"2,827",21-Nov,
444,447,Rodin,Cohen,"$44,261 ",8,,,1-Jun,8-Jul
347,448,Ryuichi Sakamoto: Coda,MUBI,"$117,460 ",9,"$12,827 ",1,6-Jul,4-Oct
140,449,Samson,PFR,"$4,719,928 ","1,249","$1,942,569 ","1,249",16-Feb,12-Apr
118,450,Sanju,FIP,"$7,909,317 ",359,"$2,723,349 ",356,29-Jun,16-Aug
604,451,School of Life,Distrib.,"$6,300 ",2,,,7-Sep,
288,452,Science Fair,NGE,"$264,890 ",36,"$11,231 ",1,14-Sep,
256,453,Scotty and the Secret History of Hollywood,Greenwich,"$461,689 ",34,"$28,144 ",1,27-Jul,20-Sep
82,454,Searching,SGem,"$26,020,957 ","2,009","$388,769 ",9,24-Aug,15-Nov
490,455,Searching for Ingmar Bergman,Osci.,"$26,703 ",6,"$5,996 ",1,2-Nov,
515,456,Senso (2018 re-release),Rialto,"$20,308 ",2,"$3,984 ",1,26-Oct,
498,457,Seven Years of Night,CJ,"$24,281 ",4,"$13,669 ",4,6-Apr,19-Apr
148,458,Sgt. Stubby: An American Hero,FunAcad,"$3,782,328 ","1,633","$1,164,403 ","1,633",13-Apr,12-Aug
548,459,Shed Skin Papa,CL,"$13,331 ",8,"$7,950 ",8,23-Mar,1-Apr
60,460,Sherlock Gnomes,Paramount,"$43,242,871 ","3,662","$10,604,774 ","3,662",23-Mar,14-Jun
276,461,Shine (2018),GVN,"$333,388 ",609,"$205,842 ",609,5-Oct,
628,462,Shoah: Four Sisters,Cohen,"$3,829 ",1,"$2,840 ",1,14-Nov,
397,463,Shock & Awe,VE,"$77,980 ",100,"$45,856 ",100,13-Jul,23-Jul
92,464,Show Dogs,Global Road,"$17,857,020 ","3,212","$6,023,972 ","3,212",18-May,11-Oct
48,465,Sicario: Day of the Soldado,Sony,"$50,072,235 ","3,055","$19,007,566 ","3,055",29-Jun,20-Sep
298,466,Skate Kitchen,Magn.,"$236,799 ",34,"$18,065 ",1,10-Aug,4-Oct
36,467,Skyscraper,Universal,"$67,796,355 ","3,822","$24,905,015 ","3,782",13-Jul,27-Sep
77,468,Slender Man,SGem,"$30,569,484 ","2,358","$11,371,866 ","2,358",10-Aug,
464,469,Small Group,Gathr,"$37,058 ",10,"$26,579 ",10,18-Oct,
624,470,Small Group (Theatrical on Demand(r)),Gathr,"$4,299 ",3,"$4,299 ",3,18-Oct,
30,471,Smallfoot,Warner Brothers,"$81,537,916 ","4,131","$23,045,635 ","4,131",28-Sep,
613,472,Social Animals,VE,"$5,007 ",75,"$2,505 ",75,1-Jun,7-Jun
475,473,Sollers Point,Osci.,"$32,608 ",4,"$10,618 ",1,11-May,21-Jun
8,474,Solo: A Star Wars Story,Buena Vista,"$213,767,512 ","4,381","$84,420,489 ","4,381",25-May,20-Sep
268,475,Soorma,Sony,"$390,077 ",50,"$168,354 ",50,13-Jul,2-Aug
96,476,Sorry to Bother You,Annapurna,"$17,493,096 ","1,050","$727,266 ",16,6-Jul,1-Nov
564,477,Souvenir,Strand,"$11,411 ",3,"$2,267 ",1,2-Mar,
590,478,Spiral,Cohen,"$8,190 ",2,"$3,258 ",2,22-Jun,8-Jul
616,479,Status Update,VE,"$4,764 ",75,"$2,205 ",75,30-Mar,
544,480,Stavisky (2018 re-release),Rialto,"$13,793 ",1,"$4,734 ",1,3-Oct,18-Oct
625,481,Stella's Last Weekend,Pala.,"$4,215 ",4,"$2,375 ",2,12-Oct,
643,482,Straight into a Storm,Abr.,"$2,684 ",1,"$1,964 ",1,15-Jun,21-Jun
580,483,Strangers on the Earth,FRun,"$9,518 ",2,"$3,768 ",1,4-May,3-Jun
84,484,Strangers: Prey at Night,Aviron,"$24,586,708 ","2,464","$10,402,271 ","2,464",9-Mar,31-May
324,485,Studio 54,Zeit.,"$175,465 ",14,"$14,909 ",1,5-Oct,
454,486,Submission,Great Point,"$39,985 ",39,,,2-Mar,22-Mar
221,487,Sui Dhaaga - Made in India,Yash,"$790,628 ",193,"$581,950 ",193,28-Sep,4-Oct
280,488,Suicide: The Ripple Effect,Gathr,"$322,588 ",21,"$2,600 ",1,23-Feb,
316,489,Summer 1993,Osci.,"$185,903 ",19,"$21,307 ",4,25-May,27-Sep
442,490,Summer in the Forest,Abr.,"$45,542 ",6,"$8,366 ",1,23-Mar,17-May
585,491,Summer of '67,MS,"$8,941 ",1,"$5,400 ",1,29-Jun,
76,492,Super Troopers 2,Fox,"$30,617,396 ","2,125","$15,181,624 ","2,038",20-Apr,12-Jul
90,493,Superfly,Sony,"$20,545,116 ","2,220","$6,870,740 ","2,220",13-Jun,9-Aug
341,494,Support the Girls,Magn.,"$129,124 ",35,"$51,167 ",33,24-Aug,18-Oct
584,495,Survivors Guide to Prison,Grav.,"$8,982 ",4,"$8,982 ",4,23-Feb,25-Feb
172,496,Suspiria,Amazon,"$2,292,120 ",311,"$184,037 ",2,26-Oct,
362,497,Sweet Country (2018),Gold.,"$104,297 ",24,"$8,895 ",2,6-Apr,24-Jun
42,498,Tag,New Line,"$54,547,470 ","3,382","$14,947,396 ","3,382",15-Jun,13-Sep
595,499,Tall: The American Skyscraper and Louis Sullivan,CGld,"$7,216 ",1,"$7,216 ",1,19-Jan,21-Jan
249,500,TCM: Die Hard 30th Anniversary Event,Fathom,"$510,241 ",687,"$321,704 ",687,11-Nov,
262,501,TCM: West Side Story,Fathom,"$408,136 ",616,"$214,212 ",616,24-Jun,
219,502,Tea with the Dames,IFC,"$816,312 ",71,"$14,777 ",1,21-Sep,
79,503,Teen Titans Go! To The Movies,Warner Brothers,"$29,562,341 ","3,188","$10,411,189 ","3,188",27-Jul,11-Oct
402,504,Tehran Taboo,KL,"$74,758 ",9,"$4,962 ",1,14-Feb,17-May
581,505,That Summer,IFC,"$9,501 ",5,"$5,977 ",1,18-May,
66,506,The 15:17 to Paris,Warner Brothers,"$36,250,957 ","3,042","$12,554,286 ","3,042",9-Feb,12-Apr
320,507,The Accidental Detective 2: In Action,CJ,"$179,045 ",11,"$47,367 ",11,22-Jun,29-Jul
573,508,The Advocates,CLS,"$10,402 ",4,"$4,355 ",1,19-Oct,
488,509,The Apparition (2018),MBox,"$26,985 ",7,"$9,830 ",7,7-Sep,
568,510,The Assassin's Code,Grav.,"$11,218 ",12,"$11,218 ",12,11-May,
502,511,The Atomic Cafe (2018 re-release),KL,"$22,293 ",5,"$4,098 ",1,1-Aug,25-Oct
468,512,The Big Bad Fox and Other Tales,GK,"$35,787 ",12,"$2,402 ",4,8-Mar,
184,513,The Bookshop,Greenwich,"$1,588,150 ",136,"$75,736 ",4,24-Aug,11-Oct
545,514,The Boy Downstairs,FR,"$13,638 ",1,"$5,995 ",1,16-Feb,1-Mar
664,515,The Breadwinner (Gathr Release),Gathr,$834 ,1,$834 ,1,13-Apr,
214,516,The Cakemaker,Strand,"$875,751 ",34,"$33,384 ",4,29-Jun,
359,517,The Captain,MBox,"$108,708 ",10,"$7,568 ",1,27-Jul,
228,518,The Catcher Was a Spy,IFC,"$712,438 ",52,"$114,771 ",46,22-Jun,23-Aug
243,519,The Children Act,A24,"$547,750 ",73,"$76,108 ",23,14-Sep,
439,520,The China Hustle,Magn.,"$48,650 ",20,"$25,791 ",20,30-Mar,19-Apr
633,521,The Citizen (2018),Artma,"$3,495 ",1,,,6-Jul,
65,522,The Commuter,Lionsgate Films,"$36,343,858 ","2,892","$13,701,452 ","2,892",12-Jan,15-Mar
516,523,The Cured,IFC,"$20,261 ",29,"$4,875 ",3,23-Feb,15-Mar
222,524,The Dark Crystal (special re-release),Fathom,"$780,491 ",618,"$561,977 ",618,25-Feb,1-Mar
103,525,The Darkest Minds,Fox,"$12,695,691 ","3,127","$5,842,609 ","3,127",3-Aug,18-Oct
416,526,The Dawn Wall,Orch.,"$66,991 ",4,"$21,615 ",2,14-Sep,4-Oct
212,527,The Dawn Wall (Fathom),Fathom,"$970,032 ",593,,,19-Sep,
497,528,The Day After,CGld,"$24,746 ",6,"$3,727 ",1,11-May,19-Aug
117,529,The Death of Stalin,IFC,"$8,041,828 ",548,"$184,805 ",4,9-Mar,26-Jul
483,530,The Desert Bride,Strand,"$30,110 ",4,"$2,127 ",2,4-May,23-Aug
514,531,The Devil and Father Amorth,Orch.,"$20,449 ",8,"$7,814 ",8,20-Apr,24-May
415,532,The Doctor from India,Zeit.,"$67,136 ",5,"$2,442 ",1,20-Apr,27-Sep
287,533,The Endless,WGUSA,"$272,020 ",20,"$9,083 ",1,6-Apr,28-Jun
23,534,The Equalizer 2,Sony,"$102,084,362 ","3,388","$36,011,640 ","3,388",20-Jul,20-Sep
558,535,The Escape,IFC,"$12,074 ",29,,2,11-May,24-May
173,536,The Fall of the American Empire,EOne,"$2,059,945 ",73,"$338,216 ",72,29-Jun,4-Oct
313,537,The Favourite,FoxS,"$190,572 ",4,,4,23-Nov,
523,538,The Female Brain,IFC,"$19,225 ",26,"$6,886 ",2,9-Feb,22-Feb
311,539,The Final Year,Magn.,"$191,900 ",39,"$67,971 ",35,19-Jan,1-Mar
296,540,The Fireflies are Gone,EOne,"$245,006 ",25,"$51,119 ",25,21-Sep,
32,541,The First Purge,Universal,"$69,086,325 ","3,038","$17,374,280 ","3,031",4-Jul,6-Sep
411,542,The Fog (2018 re-release),Rialto,"$69,029 ",43,"$39,565 ",43,26-Oct,
233,543,The Front Runner,Sony,"$674,563 ",807,"$51,543 ",4,6-Nov,
421,544,The Gardener,Grav.,"$62,734 ",2,"$6,298 ",1,30-Mar,
100,545,The Girl in the Spider's Web: A New Dragon Tattoo Story,Sony,"$14,166,400 ","2,929","$7,810,112 ","2,929",9-Nov,
266,546,The Gospel According to André,Magn.,"$400,713 ",36,"$47,802 ",4,25-May,16-Aug
254,547,The Great Battle,WGUSA,"$472,166 ",30,"$123,983 ",30,21-Sep,
391,548,The Great Buster: A Celebration,Cohen,"$81,679 ",14,"$7,107 ",2,5-Oct,
433,549,The Great Silence (2018 re-release),FM,"$53,074 ",6,"$8,755 ",1,30-Mar,30-Aug
323,550,The Guardians,MBox,"$177,331 ",10,"$7,479 ",1,4-May,13-Sep
312,551,The Guilty,Magn.,"$190,602 ",31,"$60,050 ",29,19-Oct,
257,552,The Happy Prince,SPC,"$448,246 ",277,"$38,886 ",8,10-Oct,
511,553,The Happys,Indic.,"$21,108 ",2,"$7,707 ",2,16-Mar,26-Jul
88,554,The Happytime Murders,STX,"$20,706,452 ","3,256","$9,532,425 ","3,256",24-Aug,27-Sep
80,555,The Hate U Give,Fox,"$28,717,674 ","2,375","$512,035 ",36,5-Oct,
459,556,The Heart of Nuba,Abr.,"$37,788 ",4,"$4,016 ",1,6-Apr,12-Jul
467,557,The House of Tomorrow,Shout!,"$35,821 ",8,"$6,652 ",8,27-Apr,31-May
35,558,The House With A Clock In Its Walls,Universal,"$68,163,580 ","3,592","$26,608,020 ","3,592",21-Sep,
128,559,The Hurricane Heist,ENTMP,"$6,115,825 ","2,402","$3,024,399 ","2,402",9-Mar,10-May
209,560,The Insult,Cohen,"$1,001,305 ",54,"$24,600 ",3,12-Jan,19-Apr
235,561,The Island (2018),WGUSA,"$670,883 ",40,"$263,412 ",40,10-Aug,16-Sep
503,562,The Judge (2018),IWF,"$22,257 ",3,,,13-Apr,31-May
292,563,The King (2018),Osci.,"$259,291 ",45,"$29,050 ",2,22-Jun,27-Sep
542,564,The Last Movie Star,A24,"$14,410 ",5,"$3,780 ",2,30-Mar,19-Apr
646,565,The Last Race,Magn.,"$2,437 ",3,"$2,437 ",3,16-Nov,
404,566,The Last Suit,OutF,"$73,548 ",6,"$27,549 ",6,23-Mar,8-Apr
667,567,The Legend of Hallowaiian,VPD,$451 ,20,,,19-Oct,
337,568,The Little Mermaid (2018),Conglomerate,"$147,175 ",82,"$85,505 ",82,17-Aug,25-Aug
227,569,The Little Stranger,Focus,"$713,143 ",477,"$401,563 ",474,31-Aug,13-Sep
594,570,The Lodgers,EpicPics,"$7,362 ",17,"$5,053 ",17,23-Feb,
619,571,The Long Dumb Road,TFA,"$4,667 ",1,"$4,667 ",1,9-Nov,
653,572,The Lost Village,FRun,"$1,780 ",1,$840 ,1,19-Oct,
17,573,The Meg,Warner Brothers,"$143,005,856 ","4,118","$45,402,195 ","4,118",10-Aug,1-Nov
109,574,The Miracle Season,Mirr/LD,"$10,230,620 ","1,707","$3,950,652 ","1,707",6-Apr,5-Jul
493,575,The Misandrists,Cartilage,"$26,123 ",5,"$3,278 ",1,25-May,2-Aug
213,576,The Miseducation of Cameron Post,FR,"$904,703 ",85,"$48,638 ",2,3-Aug,30-Sep
314,577,The Monkey King 3,WGUSA,"$187,074 ",34,"$95,577 ",34,16-Feb,8-Mar
557,578,The Most Unknown,Abr.,"$12,119 ",2,"$2,905 ",1,18-May,14-Jun
356,579,The Negotiation,CJ,"$110,986 ",13,"$14,273 ",2,21-Sep,18-Oct
21,580,The Nun,New Line,"$117,443,149 ","3,876","$53,807,379 ","3,876",7-Sep,
51,581,The Nutcracker and the Four Realms,Buena Vista,"$47,494,698 ","3,766","$20,352,491 ","3,766",2-Nov,
264,582,The Oath (2018),RAtt.,"$401,463 ",300,"$29,077 ",10,12-Oct,1-Nov
108,583,The Old Man & the Gun,FoxS,"$10,724,328 ","1,042","$142,131 ",5,28-Sep,
151,584,The Oscar Nominated Short Films 2018,Shrts.,"$3,508,777 ",272,"$695,044 ",198,9-Feb,22-Mar
617,585,The Other Side of Everything,Icar.,"$4,685 ",2,$315 ,1,13-Jul,
224,586,The Party (2017),RAtt.,"$749,827 ",92,"$37,396 ",3,16-Feb,10-May
623,587,The Peacemaker (2018),Central Squa,"$4,400 ",1,"$4,400 ",1,9-Feb,11-Feb
45,588,The Predator (2018),Fox,"$51,014,175 ","4,070","$24,632,284 ","4,037",14-Sep,
382,589,The Price of Everything,HBO,"$87,400 ",8,"$16,817 ",1,19-Oct,
396,590,The Princess and the Matchmaker,CJ,"$78,900 ",6,"$20,142 ",3,9-Mar,29-Mar
566,591,The Public Image is Rotten,Abr.,"$11,293 ",1,"$8,052 ",1,14-Sep,
578,592,The Quest of Alain Ducasse,Magn.,"$9,627 ",5,"$2,711 ",1,8-Jun,28-Jun
168,593,The Rider,SPC,"$2,407,042 ",224,"$42,244 ",3,13-Apr,
400,594,The Riot Act,Hann.,"$75,506 ",10,"$28,840 ",9,14-Sep,21-Oct
469,595,The Road Movie,Osci.,"$35,757 ",19,"$17,175 ",19,19-Jan,15-Feb
570,596,The Samuel Project,in8,"$11,087 ",2,"$11,087 ",2,28-Sep,
245,597,The Sandlot (25th Anniversary),Fathom,"$534,356 ",438,"$273,333 ",438,22-Jul,
197,598,The Seagull,SPC,"$1,252,960 ",211,"$79,016 ",6,11-May,16-Aug
158,599,The Sisters Brothers,Annapurna,"$3,104,223 ","1,141","$115,575 ",4,21-Sep,
283,600,The Son of Bigfoot,VPD,"$289,308 ",30,,,30-Mar,26-Jul
250,601,The Spy Gone North,CJ,"$500,803 ",31,"$43,348 ",2,10-Aug,20-Sep
72,602,The Spy Who Dumped Me,Lionsgate Films,"$33,562,069 ","3,111","$12,103,043 ","3,111",3-Aug,27-Sep
647,603,The Swan,Synergetic,"$2,367 ",2,$898 ,1,10-Aug,
612,604,The Texture of Falling,BloodSweatHo,"$5,010 ",1,,,1-Jun,22-Jun
383,605,The Third Murder,FM,"$87,389 ",10,"$10,670 ",2,20-Jul,
234,606,The Trump Prophecy,Fathom,"$671,198 ",608,,,2-Oct,
569,607,The Wedding Party 2: Destination Dubai,IronFlix,"$11,140 ",2,"$4,905 ",2,14-Feb,25-Feb
119,608,The Wife,SPC,"$7,775,206 ",541,"$108,284 ",4,17-Aug,
505,609,The Workshop,Strand,"$22,061 ",8,"$2,860 ",1,23-Mar,31-May
344,610,The Young Karl Marx,Orch.,"$125,659 ",15,"$26,097 ",3,23-Feb,17-May
598,611,This is Congo,Abr.,"$7,051 ",2,"$3,690 ",1,29-Jun,5-Jul
563,612,This is Our Land,Distrib.,"$11,567 ",2,"$2,442 ",1,18-Apr,3-May
160,613,Thoroughbreds,Focus,"$2,976,330 ",564,"$1,224,430 ",549,9-Mar,26-Apr
104,614,Three Identical Strangers,Neon,"$12,320,845 ",433,"$171,503 ",5,29-Jun,18-Oct
187,615,Thugs of Hindostan,Yash,"$1,449,848 ",377,"$1,185,386 ",377,8-Nov,
346,616,Till the End of the World,CL,"$118,660 ",27,"$57,713 ",27,2-Feb,22-Feb
637,617,Tom of Finland (Gathr Release),Gathr,"$3,314 ",1,,1,23-Feb,
41,618,Tomb Raider,Warner Brothers,"$57,421,715 ","3,854","$23,633,317 ","3,854",16-Mar,31-May
112,619,Traffik,Lionsgate Films,"$9,186,156 ","1,046","$3,941,338 ","1,046",20-Apr,31-May
589,620,Trust Machine: The Story of Blockchain,SingularDTV,"$8,248 ",1,"$7,424 ",1,26-Oct,
62,621,Truth or Dare,Universal,"$41,254,705 ","3,068","$18,667,855 ","3,029",13-Apr,26-Jul
111,622,Tully (2018),Focus,"$9,334,930 ","1,356","$3,282,610 ","1,353",4-May,5-Jul
665,623,TVTV: Video Revolutionaries ,FRun,$812 ,1,$556 ,1,19-Oct,
660,624,Two Men Went to War (2018 re-release),Indic.,"$1,227 ",1,$185 ,1,25-May,
59,625,Tyler Perry's Acrimony,Lionsgate Films,"$43,549,096 ","2,006","$17,170,707 ","2,006",30-Mar,7-Jun
588,626,Un Traductor,FM,"$8,630 ",2,"$4,412 ",1,19-Oct,
127,627,Unbroken: Path to Redemption,PFR,"$6,210,342 ","1,620","$2,238,723 ","1,620",14-Sep,
61,628,Uncle Drew,Lionsgate Summit,"$42,469,946 ","2,742","$15,242,781 ","2,742",29-Jun,13-Sep
414,629,Under the Tree,Magn.,"$67,596 ",9,"$13,617 ",3,6-Jul,6-Sep
661,630,Under the Turban,Gathr,"$1,190 ",1,,,25-Apr,
634,631,Under the Wire,Abr.,"$3,429 ",2,"$2,271 ",2,16-Nov,
114,632,Unfriended: Dark Web,BH Tilt,"$8,783,985 ","1,547","$3,653,035 ","1,546",20-Jul,16-Aug
120,633,Unsane,BST,"$7,732,899 ","2,023","$3,762,145 ","2,023",23-Mar,12-Apr
105,634,Upgrade,BH Tilt,"$11,916,615 ","1,458","$4,670,905 ","1,457",1-Jun,2-Aug
499,635,Vazante,MBox,"$23,884 ",6,"$3,489 ",1,12-Jan,19-Apr
9,636,Venom (2018),Sony,"$211,219,620 ","4,250","$80,255,756 ","4,250",5-Oct,
423,637,Viper Club,RAtt.,"$60,607 ",70,"$14,180 ",3,26-Oct,15-Nov
435,638,Wanda (2018 re-release),Jan.,"$51,713 ",3,"$10,679 ",1,20-Jul,20-Sep
409,639,Wastelander,Indic.,"$70,045 ",22,"$20,768 ",22,12-Jan,26-Jul
265,640,We the Animals,Orch.,"$400,961 ",48,"$63,357 ",3,17-Aug,18-Oct
579,641,Weed the People,Abr.,"$9,536 ",2,"$4,279 ",1,26-Oct,
635,642,Weightless,Great Point,"$3,357 ",2,"$2,515 ",2,9-Nov,
651,643,West of the Jordan River,KL,"$1,926 ",1,"$1,047 ",1,26-Jan,1-Feb
451,644,Western,CGld,"$41,072 ",7,"$6,688 ",1,16-Feb,28-Jun
426,645,"Westwood: Punk, Icon, Activist",Greenwich,"$58,979 ",8,"$4,450 ",1,8-Jun,29-Jul
291,646,What They Had,BST,"$260,136 ",53,"$17,683 ",4,19-Oct,22-Nov
445,647,What Will People Say,KL,"$44,156 ",4,"$4,024 ",1,13-Jul,1-Nov
538,648,When You Read this Letter (2018 re-release),Rialto,"$15,552 ",2,"$5,166 ",1,12-Sep,
413,649,Where Hands Touch,VE,"$67,743 ",103,"$67,743 ",103,14-Sep,
424,650,Where is Kyra?,Great Point,"$59,717 ",33,"$7,000 ",1,6-Apr,3-May
85,651,White Boy Rick,Studio 8,"$24,011,188 ","2,504","$8,860,431 ","2,504",14-Sep,
159,652,Whitney,RAtt.,"$3,026,351 ",451,"$1,265,572 ",451,6-Jul,20-Sep
524,653,Who We are Now,FR,"$19,128 ",3,"$5,188 ",1,25-May,21-Jun
89,654,Widows,Fox,"$20,690,819 ","2,803","$12,361,307 ","2,803",16-Nov,
223,655,Wildlife,IFC,"$770,741 ",105,"$104,589 ",4,19-Oct,
83,656,Winchester,Lionsgate Films,"$25,091,816 ","2,480","$9,307,626 ","2,480",2-Feb,29-Mar
388,657,Wings of Desire (2018 re-release),Jan.,"$83,831 ",4,"$12,885 ",1,19-Oct,
504,658,Winning Formula,Indic.,"$22,189 ",5,"$4,505 ",5,27-Jul,6-Sep
429,659,Woman Walks Ahead,A24,"$57,528 ",6,"$6,863 ",2,29-Jun,9-Aug
86,660,Won't You Be My Neighbor?,Focus,"$22,609,437 ",893,"$475,419 ",29,8-Jun,13-Sep
145,661,Ya Veremos,PNT,"$4,165,949 ",369,"$1,803,848 ",369,31-Aug,11-Oct
210,662,Yellow Submarine (2018 re-release),Abr.,"$992,305 ",188,"$107,105 ",73,8-Jul,30-Sep
166,663,You Were Never Really Here,Amazon,"$2,528,078 ",233,"$132,829 ",3,6-Apr,14-Jun
308,664,Zama,Strand,"$200,600 ",19,"$26,123 ",3,13-Apr,19-Jul
583,665,Zoo Wars,PDF,"$8,998 ",12,"$8,998 ",12,27-Apr,
